Integration Time (ms),60
Wavelength,Watts/Count,Count,Watts
410.95746844371,0,0,0.001459607
411.419190328503,0,0,0.001799939
411.880950639599,0.000698435793702578,3.09523809523739,0.002161825
412.342749372517,0.000303780252579436,8.00000000000432,0.002430242
412.804586522777,0.000309338450987511,8.61904761904816,0.002666203
413.266462085896,0.000179072090593862,12.5714285714332,0.002251192
413.728376057393,9.51085914857887E-05,14.2857142857113,0.001358694
414.190328432788,7.42005963380009E-05,17.3333333333319,0.001286144
414.652319207598,0.000118073695427095,20.1904761904809,0.002383964
415.114348377343,0.000157637415942571,20.1428571428571,0.003175268
415.576415937542,0.00014993047122572,20.238095238092,0.003034307
416.038521883712,0.000120469027721898,24.3333333333383,0.002931413
416.500666211374,0.000129890115931605,25.0000000000048,0.003247253
416.962848916045,0.000114939333270159,30.9999999999986,0.003563119
417.425069993245,9.50491521507532E-05,36.142857142856,0.003435348
417.887329438491,8.00052690287175E-05,40.8571428571418,0.003268787
418.349627247304,9.12809281763232E-05,45.142857142856,0.004120682
418.811963415201,0.00010632150499603,49.8571428571465,0.005300886
419.274337937701,0.000105969465622108,55.6666666666674,0.005898967
419.736750810324,9.3678082322439E-05,65.0952380952342,0.006097997
420.199202028587,8.98895021491191E-05,72.2380952380936,0.006493446
420.66169158801,9.14241727237351E-05,78.1904761904771,0.0071485
421.124219484111,9.07942491492179E-05,86.3809523809487,0.007842894
421.58678571241,9.04040574374417E-05,95.6190476190486,0.00864435
422.049390268424,8.8258954375945E-05,106.714285714283,0.009418491
422.512033147672,8.3996611862289E-05,118.619047619043,0.009963598
422.974714345675,8.06003513047298E-05,130.380952380953,0.01050875
423.437433857949,7.93432918726472E-05,146.285714285713,0.01160679
423.900191680013,8.01301690196838E-05,158.95238095238,0.01273688
424.362987807388,7.88373055688142E-05,170.999999999996,0.01348118
424.825822235591,7.5678397426423E-05,186.571428571432,0.01411943
425.28869496014,7.442417165325E-05,203.380952380955,0.01513646
425.751605976556,7.37457628993753E-05,222.142857142854,0.01638209
426.214555280356,7.3206216424474E-05,240.42857142857,0.01760087
426.677542867059,7.35020060952743E-05,255.619047619049,0.01878851
427.140568732185,7.1219331687789E-05,280.095238095235,0.0199482
427.603632871251,6.87485028176513E-05,306.09523809524,0.02104359
428.066735279776,6.5965577171759E-05,337.571428571433,0.02226809
428.52987595328,6.5878752152222E-05,368.238095238099,0.02425907
428.993054887281,6.58607270608667E-05,398.571428571428,0.0262502
429.456272077297,6.4333379581178E-05,431.380952380949,0.02775219
429.919527518848,6.23220745105545E-05,469.285714285711,0.02924686
430.382821207453,6.11951943424858E-05,505.857142857143,0.03095603
430.846153138629,5.99300704312726E-05,545.809523809526,0.0327104
431.309523307896,5.86183550139579E-05,585.761904761903,0.0343364
431.772931710772,5.69045423880975E-05,630.857142857143,0.03589864
432.236378342777,5.67208915194914E-05,670.095238095239,0.0380084
432.699863199429,5.68867291856908E-05,714.476190476195,0.04064421
433.163386276246,5.72471626964491E-05,759.761904761907,0.04349421
433.626947568747,5.8155375513878E-05,803.666666666669,0.04673754
434.090547072452,5.83245510128951E-05,851.333333333333,0.04965363
434.554184782879,5.70233938332255E-05,898.2380952381,0.05122058
435.017860695547,5.60149658019392E-05,943.190476190474,0.05283278
435.481574805974,5.56243192919445E-05,999.047619047617,0.05557134
435.945327109679,5.51830906691237E-05,1056.66666666666,0.05831013
436.409117602181,5.52383455528607E-05,1113.71428571429,0.06151973
436.872946278998,5.48513392488831E-05,1181.2380952381,0.06479249
437.336813135651,5.40043837739867E-05,1249.66666666667,0.06748748
437.800718167656,5.30207126161501E-05,1319.57142857143,0.06996462
438.264661370533,5.25684965333439E-05,1396.90476190476,0.07343318
438.728642739801,5.24972691853267E-05,1479.09523809524,0.07764846
439.192662270978,5.18136933030997E-05,1559.61904761905,0.08080962
439.656719959583,4.99711734557191E-05,1650.66666666666,0.08248575
440.120815801135,4.85163552473054E-05,1743.04761904761,0.08456632
440.584949791153,4.77695499989565E-05,1837.90476190476,0.08779588
441.049121925155,4.69976740668235E-05,1938.76190476191,0.0911173
441.51333219866,4.65718737630489E-05,2044.42857142857,0.09521287
441.977580607187,4.62926616613132E-05,2145.2380952381,0.09930878
442.441867146255,4.51698388802785E-05,2245.64285714286,0.1014353
442.906191811382,4.43006709635335E-05,2335.45238095238,0.1034621
443.370554598087,4.38601276796166E-05,2418.35714285714,0.1060695
443.834955501889,4.36655720711602E-05,2492.21428571429,0.108824
444.299394518306,4.28069778206018E-05,2562.64285714285,0.109699
444.763871642858,4.18749222826828E-05,2615.83333333334,0.1095378
445.228386871063,4.20677021769146E-05,2656.40476190476,0.1117488
445.692940198439,4.33275487355207E-05,2686.80952380953,0.1164129
446.157531620507,4.43011427978628E-05,2708.47619047619,0.1199886
446.622161132783,4.46635577338381E-05,2719.04761904762,0.1214423
447.086828730788,4.50124967144685E-05,2725.38095238095,0.1226762
447.551534410039,4.54210713770498E-05,2706.95238095238,0.1229527
448.016278166056,4.59025834480017E-05,2684.85714285714,0.1232419
448.481059994357,4.65118526657925E-05,2663.42857142858,0.123881
448.945879890462,4.73229368564406E-05,2631.28571428571,0.1245202
449.410737849888,4.67973146704097E-05,2596.5238095238,0.1215103
449.875633868154,4.62148115155574E-05,2553.71428571429,0.1180194
450.34056794078,4.63433215995685E-05,2507,0.1161827
450.805540063284,4.66951268518425E-05,2461.71428571428,0.1149501
451.270550231184,4.65988045577582E-05,2405.42857142857,0.1120901
451.73559844,4.60166400265616E-05,2348.28571428571,0.1080602
452.20068468525,4.55721554305228E-05,2285.57142857143,0.1041584
452.665808962454,4.53183582113107E-05,2216.00000000001,0.1004255
